Adjective,Name,ID,Condition,Context,Target,VPinf
smart,Jane,1-smart-CnC,CnC,Jane wanted to get a good job.,She got her high school degree.,to get her high school degree
smart,Jane,1-smart-CnD,CnD,Jane wanted to get a good job.,She dropped out of high school.,to drop out of high school
smart,Jane,1-smart-CxC,CxC,Jane's father couldn't hear the TV.,She turned up the volume.,to turn up the volume
smart,Jane,1-smart-CxD,CxD,Jane's neighbor complained about the loud music.,She turned up the volume.,to turn up the volume
smart,Jane,2-smart-CnC,CnC,Jane was arrested for fraud.,She told her attorney the truth.,to tell her attorney the truth
smart,Jane,2-smart-CnD,CnD,Jane was arrested for fraud.,She had incriminating documents in her briefcase.,to have incriminating documents in her briefcase
smart,Jane,2-smart-CxC,CxC,Jane saw a man with a gun.,She called the police.,to call the police
smart,Jane,2-smart-CxD,CxD,Jane was prank-calling people.,She called the police.,to call the police
smart,Jane,3-smart-CnC,CnC,Jane was applying for a job. ,She updated her resume.,to update her resume
smart,Jane,3-smart-CnD,CnD,Jane was applying for a job. ,She lied on her resume.,to lie on her resume
smart,Jane,3-smart-CxC,CxC,Jane wanted to get a good job.,She went to school.,to go to school
smart,Jane,3-smart-CxD,CxD,Jane had the measles.,She went to school.,to go to school
smart,Jane,4-smart-CnC,CnC,Jane was baby-sitting for her sister.,She kept an eye on the baby at all times.,to keep an eye on the baby at all times
smart,Jane,4-smart-CnD,CnD,Jane was baby-sitting for her sister.,She left the baby unattended.,to leave the baby unattended
smart,Jane,4-smart-CxC,CxC,Jane always has to know what time it is.,She bought a watch.,to buy a watch
smart,Jane,4-smart-CxD,CxD,Jane hates keeping track of time.,She bought a watch.,to buy a watch
smart,Jane,5-smart-CnC,CnC,Jane's computer was hacked.,She changed her passwords immediately.,to change her passwords immediately
smart,Jane,5-smart-CnD,CnD,Jane's computer was hacked.,She kept using the same passwords.,to keep using the same passwords
smart,Jane,5-smart-CxC,CxC,Jane went on a hike.,She brought a snack.,to bring a snack
smart,Jane,5-smart-CxD,CxD,Jane went to a pizzeria.,She brought a snack.,to bring a snack
smart,Jane,6-smart-CnC,CnC,Jane parked her car.,She turned off the lights.,to turn off the lights
smart,Jane,6-smart-CnD,CnD,Jane parked her car.,She left the lights on.,to leave the lights on
smart,Jane,6-smart-CxC,CxC,Jane's boyfriend was cheating on her.,She broke up with him.,to break up with him
smart,Jane,6-smart-CxD,CxD,Jane loves her boyfriend.,She broke up with him.,to break up with him
stupid,Zack,7-stupid-CnC,CnC,Zack was in a severe thunderstorm.,He walked around outside.,to walk around outside
stupid,Zack,7-stupid-CnD,CnD,Zack was in a severe thunderstorm.,He found shelter in a basement.,to find shelter in a basement
stupid,Zack,7-stupid-CxC,CxC,Zack had the measles.,He went to school.,to go to school
stupid,Zack,7-stupid-CxD,CxD,Zack wanted to get a good job.,He went to school.,to go to school
stupid,Zack,8-stupid-CnC,CnC,Zack left the bar drunk.,He drove home.,to drive home
stupid,Zack,8-stupid-CnD,CnD,Zack left the bar drunk.,He called a taxi.,to call a taxi
stupid,Zack,8-stupid-CxC,CxC,Zack loves his girlfriend.,He broke up with her.,to break up with her
stupid,Zack,8-stupid-CxD,CxD,Zack's girlfriend was cheating on him.,He broke up with her.,to break up with her
stupid,Zack,9-stupid-CnC,CnC,Zack discovered that his girlfriend was cheating.,He married her.,to marry her
stupid,Zack,9-stupid-CnD,CnD,Zack discovered that his girlfriend was cheating.,He broke up with her.,to break up with her
stupid,Zack,9-stupid-CxC,CxC,Zack was sitting in the bath tub.,He used the hair dryer.,to use the hair dryer
stupid,Zack,9-stupid-CxD,CxD,Zack had wet hair.,He used the hair dryer.,to use the hair dryer
stupid,Zack,10-stupid-CnC,CnC,Zack was offered some contaminated heroin.,He injected it.,to inject it
stupid,Zack,10-stupid-CnD,CnD,Zack was offered some contaminated heroin.,He refused to take it.,to refuse to take it
stupid,Zack,10-stupid-CxC,CxC,Zack saw two wasps in his drink.,He took a sip.,to take a sip
stupid,Zack,10-stupid-CxD,CxD,Zack was drinking a glass of wine.,He took a sip.,to take a sip
stupid,Zack,11-stupid-CnC,CnC,Zack couldn't afford the leather jacket.,He stole it.,to steal it
stupid,Zack,11-stupid-CnD,CnD,Zack couldn't afford the leather jacket.,He started saving for it.,to start saving for it
stupid,Zack,11-stupid-CxC,CxC,Zack is a vegetarian.,He ordered a steak.,to order a steak
stupid,Zack,11-stupid-CxD,CxD,Zack was at a steak house.,He ordered a steak.,to order a steak
stupid,Zack,12-stupid-CnC,CnC,Zack inherited a lot of money.,He gambled it all away.,to gamble it all away
stupid,Zack,12-stupid-CnD,CnD,Zack inherited a lot of money.,He invested it.  ,to invest it. 
stupid,Zack,12-stupid-CxC,CxC,Zack is lactose intolerant.,He drank a milk shake.,to drink a milk shake
stupid,Zack,12-stupid-CxD,CxD,Zack was hungry.,He drank a milk shake.,to drink a milk shake
fortunate,Sue,13-fortunate-CnC,CnC,Sue was bitten by a shark.,She got away with a few cuts.,to get away with a few cuts
fortunate,Sue,13-fortunate-CnD,CnD,Sue was bitten by a shark.,She lost a leg.,to lose a leg
fortunate,Sue,13-fortunate-CxC,CxC,Sue got into a rain storm.,She had a big umbrella with her.,to have a big umbrella with her
fortunate,Sue,13-fortunate-CxD,CxD,Sue was riding on a horse.,She had a big umbrella with her.,to have a big umbrella with her
fortunate,Sue,14-fortunate-CnC,CnC,Sue just bought a new car.,She got a discount.,to get a discount
fortunate,Sue,14-fortunate-CnD,CnD,Sue just bought a new car.,She hit a deer.,to hit a deer
fortunate,Sue,14-fortunate-CxC,CxC,Sue needed to cut some bread.,She had a sharp knife in her purse.,to have a sharp knife in her purse
fortunate,Sue,14-fortunate-CxD,CxD,Sue was going through airport security.,She had a sharp knife in her purse.,to have a sharp knife in her purse
fortunate,Sue,15-fortunate-CnC,CnC,Sue was traveling in France.,She spoke some French.,to speak some French
fortunate,Sue,15-fortunate-CnD,CnD,Sue was traveling in France.,She got robbed.,to get robbed
fortunate,Sue,15-fortunate-CxC,CxC,Sue spontaneously went to the beach.,She was wearing flip-flops.,to be wearing flip-flops
fortunate,Sue,15-fortunate-CxD,CxD,Sue spontaneously went on a hike in the mountains.,She was wearing flip-flops.,to be wearing flip-flops
fortunate,Sue,16-fortunate-CnC,CnC,Sue was training to become a dancer.,She had a great sense of rhythm.,to have a great sense of rhythm
fortunate,Sue,16-fortunate-CnD,CnD,Sue was training to become a dancer.,She developed back problems.,to develop back problems
fortunate,Sue,16-fortunate-CxC,CxC,Sue doesn't like to clean.,She had a tiny apartment.,to have a tiny apartment
fortunate,Sue,16-fortunate-CxD,CxD,Sue lives with two big dogs.,She had a tiny apartment.,to have a tiny apartment
fortunate,Sue,17-fortunate-CnC,CnC,Sue was visiting New York.,She stayed at the Ritz-Carlton.,to stay at the Ritz-Carlton
