Adjective,ID Consonant,Response Consonant,ID Dissonant,Response Dissonant,Difference
brave,22-brave-CnC,5.916666667,22-brave-CnD,1.454545455,4.462121212
brave,19-brave-CnC,5.888888889,19-brave-CnD,1.454545455,4.434343434
brave,23-brave-CnC,6.111111111,23-brave-CnD,1.818181818,4.292929293
brave,24-brave-CnC,7,24-brave-CnD,3.375,3.625
brave,21-brave-CnC,6.4,21-brave-CnD,3.4,3
brave,20-brave-CnC,5.888888889,20-brave-CnD,3.181818182,2.707070707
foolish,42-foolish-CnC,5.8,42-foolish-CnD,1,4.8
foolish,41-foolish-CnC,5.75,41-foolish-CnD,1.083333333,4.666666667
foolish,39-foolish-CnC,5.416666667,39-foolish-CnD,1.090909091,4.325757576
foolish,37-foolish-CnC,6.307692308,37-foolish-CnD,2,4.307692308
foolish,38-foolish-CnC,5.636363636,38-foolish-CnD,2.333333333,3.303030303
foolish,40-foolish-CnC,4,40-foolish-CnD,1.8,2.2
fortunate,15-fortunate-CnC,6.555555556,15-fortunate-CnD,1.111111111,5.444444444
fortunate,16-fortunate-CnC,6.333333333,16-fortunate-CnD,1,5.333333333
fortunate,13-fortunate-CnC,7,13-fortunate-CnD,2.076923077,4.923076923
fortunate,18-fortunate-CnC,6.333333333,18-fortunate-CnD,1.666666667,4.666666667
fortunate,14-fortunate-CnC,5.3,14-fortunate-CnD,1.666666667,3.633333333
fortunate,17-fortunate-CnC,5.416666667,17-fortunate-CnD,2.272727273,3.143939394
lucky,30-lucky-CnC,6.666666667,30-lucky-CnD,1.3,5.366666667
lucky,28-lucky-CnC,6.181818182,28-lucky-CnD,1.222222222,4.95959596
lucky,29-lucky-CnC,6,29-lucky-CnD,1.777777778,4.222222222
lucky,27-lucky-CnC,6.555555556,27-lucky-CnD,2.454545455,4.101010101
lucky,25-lucky-CnC,5.4,25-lucky-CnD,1.416666667,3.983333333
lucky,26-lucky-CnC,5.272727273,26-lucky-CnD,1.7,3.572727273
mean,55-mean-CnC,6.777777778,55-mean-CnD,1,5.777777778
mean,56-mean-CnC,6.7,56-mean-CnD,1,5.7
mean,58-mean-CnC,6.7,58-mean-CnD,1.083333333,5.616666667
mean,59-mean-CnC,6.5,59-mean-CnD,1,5.5
mean,60-mean-CnC,6.333333333,60-mean-CnD,1.1,5.233333333
mean,57-mean-CnC,6.727272727,57-mean-CnD,1.777777778,4.949494949
polite,43-polite-CnC,6.7,43-polite-CnD,1.333333333,5.366666667
polite,47-polite-CnC,6.333333333,47-polite-CnD,1.083333333,5.25
polite,46-polite-CnC,6.357142857,46-polite-CnD,1.444444444,4.912698413
polite,45-polite-CnC,5.818181818,45-polite-CnD,1,4.818181818
polite,44-polite-CnC,6.083333333,44-polite-CnD,1.3,4.783333333
polite,48-polite-CnC,5.909090909,48-polite-CnD,1.818181818,4.090909091
rude,53-rude-CnC,6.909090909,53-rude-CnD,1,5.909090909
rude,50-rude-CnC,6.571428571,50-rude-CnD,1,5.571428571
rude,52-rude-CnC,6.5,52-rude-CnD,1.333333333,5.166666667
rude,54-rude-CnC,5.4,54-rude-CnD,1.333333333,4.066666667
rude,49-rude-CnC,5.4,49-rude-CnD,1.416666667,3.983333333
rude,51-rude-CnC,4.555555556,51-rude-CnD,1.75,2.805555556
smart,1-smart-CnC,7,1-smart-CnD,1.333333333,5.666666667
smart,4-smart-CnC,6.888888889,4-smart-CnD,1.384615385,5.504273504
smart,5-smart-CnC,6.6,5-smart-CnD,1.1,5.5
smart,6-smart-CnC,6.8,6-smart-CnD,1.6,5.2
smart,2-smart-CnC,6,2-smart-CnD,1.090909091,4.909090909
smart,3-smart-CnC,6.666666667,3-smart-CnD,2.727272727,3.939393939
stupid,10-stupid-CnC,6.571428571,10-stupid-CnD,1,5.571428571
stupid,8-stupid-CnC,6.888888889,8-stupid-CnD,1.333333333,5.555555556
stupid,9-stupid-CnC,6,9-stupid-CnD,1,5
stupid,7-stupid-CnC,6.333333333,7-stupid-CnD,1.444444444,4.888888889
stupid,12-stupid-CnC,6.545454545,12-stupid-CnD,1.909090909,4.636363636
stupid,11-stupid-CnC,6.363636364,11-stupid-CnD,2.7,3.663636364
wise,33-wise-CnC,6.909090909,33-wise-CnD,1,5.909090909
wise,31-wise-CnC,7,31-wise-CnD,1.1,5.9
wise,35-wise-CnC,6.272727273,35-wise-CnD,1.555555556,4.717171717
wise,36-wise-CnC,6.222222222,36-wise-CnD,1.8,4.422222222
wise,32-wise-CnC,6.833333333,32-wise-CnD,2.666666667,4.166666667
wise,34-wise-CnC,6,34-wise-CnD,3.2,2.8
,,6.221719114,,1.60626554,4.615453574
