"ID","Adj","Condition","Condition2","IDMean"
"1-smart-CnC","smart","CnC","Cn",7
"1-smart-CnD","smart","CnD","Cn",1.36363636363636
"1-smart-CxC","smart","CxC","Cx",6.5
"1-smart-CxD","smart","CxD","Cx",1.22222222222222
"10-stupid-CnC","stupid","CnC","Cn",6.5
"10-stupid-CnD","stupid","CnD","Cn",1
"10-stupid-CxC","stupid","CxC","Cx",6.45454545454545
"10-stupid-CxD","stupid","CxD","Cx",1.33333333333333
"11-stupid-CnC","stupid","CnC","Cn",6.3
"11-stupid-CnD","stupid","CnD","Cn",2.625
"11-stupid-CxC","stupid","CxC","Cx",5
"11-stupid-CxD","stupid","CxD","Cx",1.77777777777778
"12-stupid-CnC","stupid","CnC","Cn",6.77777777777778
"12-stupid-CnD","stupid","CnD","Cn",1.8
"12-stupid-CxC","stupid","CxC","Cx",6.41666666666667
"12-stupid-CxD","stupid","CxD","Cx",3
"13-fortunate-CnC","fortunate","CnC","Cn",7
"13-fortunate-CnD","fortunate","CnD","Cn",2.07692307692308
"13-fortunate-CxC","fortunate","CxC","Cx",6.75
"13-fortunate-CxD","fortunate","CxD","Cx",2.88888888888889
"14-fortunate-CnC","fortunate","CnC","Cn",5.28571428571429
"14-fortunate-CnD","fortunate","CnD","Cn",1.66666666666667
"14-fortunate-CxC","fortunate","CxC","Cx",5.11111111111111
"14-fortunate-CxD","fortunate","CxD","Cx",1.4
"15-fortunate-CnC","fortunate","CnC","Cn",6.55555555555556
"15-fortunate-CnD","fortunate","CnD","Cn",1.11111111111111
"15-fortunate-CxC","fortunate","CxC","Cx",5.9
"15-fortunate-CxD","fortunate","CxD","Cx",1.4
"16-fortunate-CnC","fortunate","CnC","Cn",6.27272727272727
"16-fortunate-CnD","fortunate","CnD","Cn",1
"16-fortunate-CxC","fortunate","CxC","Cx",4.28571428571429
"16-fortunate-CxD","fortunate","CxD","Cx",1.6
"17-fortunate-CnC","fortunate","CnC","Cn",5.41666666666667
"17-fortunate-CnD","fortunate","CnD","Cn",2.4
"17-fortunate-CxC","fortunate","CxC","Cx",6
"17-fortunate-CxD","fortunate","CxD","Cx",1.75
"18-fortunate-CnC","fortunate","CnC","Cn",6.27272727272727
"18-fortunate-CnD","fortunate","CnD","Cn",1.66666666666667
"18-fortunate-CxC","fortunate","CxC","Cx",5.66666666666667
"18-fortunate-CxD","fortunate","CxD","Cx",1.6
"19-brave-CnC","brave","CnC","Cn",6.14285714285714
"19-brave-CnD","brave","CnD","Cn",1.2
"19-brave-CxC","brave","CxC","Cx",6.6
"19-brave-CxD","brave","CxD","Cx",4.11111111111111
"2-smart-CnC","smart","CnC","Cn",5.9
"2-smart-CnD","smart","CnD","Cn",1.1
"2-smart-CxC","smart","CxC","Cx",5.88888888888889
"2-smart-CxD","smart","CxD","Cx",1.33333333333333
"20-brave-CnC","brave","CnC","Cn",5.88888888888889
"20-brave-CnD","brave","CnD","Cn",3.3
"20-brave-CxC","brave","CxC","Cx",6.91666666666667
"20-brave-CxD","brave","CxD","Cx",3.85714285714286
"21-brave-CnC","brave","CnC","Cn",6.4
"21-brave-CnD","brave","CnD","Cn",3.11111111111111
"21-brave-CxC","brave","CxC","Cx",5.77777777777778
"21-brave-CxD","brave","CxD","Cx",2.91666666666667
"22-brave-CnC","brave","CnC","Cn",5.90909090909091
"22-brave-CnD","brave","CnD","Cn",1.55555555555556
"22-brave-CxC","brave","CxC","Cx",6
"22-brave-CxD","brave","CxD","Cx",2.3
"23-brave-CnC","brave","CnC","Cn",6.25
"23-brave-CnD","brave","CnD","Cn",1.9
"23-brave-CxC","brave","CxC","Cx",5.875
"23-brave-CxD","brave","CxD","Cx",3.77777777777778
"24-brave-CnC","brave","CnC","Cn",7
"24-brave-CnD","brave","CnD","Cn",3.375
"24-brave-CxC","brave","CxC","Cx",5.18181818181818
"24-brave-CxD","brave","CxD","Cx",3
"25-lucky-CnC","lucky","CnC","Cn",5.4
"25-lucky-CnD","lucky","CnD","Cn",1.36363636363636
"25-lucky-CxC","lucky","CxC","Cx",4.88888888888889
"25-lucky-CxD","lucky","CxD","Cx",1.28571428571429
"26-lucky-CnC","lucky","CnC","Cn",5.2
"26-lucky-CnD","lucky","CnD","Cn",1.55555555555556
"26-lucky-CxC","lucky","CxC","Cx",5.76923076923077
"26-lucky-CxD","lucky","CxD","Cx",3.14285714285714
"27-lucky-CnC","lucky","CnC","Cn",6.55555555555556
"27-lucky-CnD","lucky","CnD","Cn",2.3
"27-lucky-CxC","lucky","CxC","Cx",5.44444444444444
"27-lucky-CxD","lucky","CxD","Cx",2.7
"28-lucky-CnC","lucky","CnC","Cn",6.66666666666667
"28-lucky-CnD","lucky","CnD","Cn",1.22222222222222
"28-lucky-CxC","lucky","CxC","Cx",5.625
"28-lucky-CxD","lucky","CxD","Cx",2.3
"29-lucky-CnC","lucky","CnC","Cn",6
"29-lucky-CnD","lucky","CnD","Cn",1.625
"29-lucky-CxC","lucky","CxC","Cx",4.625
"29-lucky-CxD","lucky","CxD","Cx",3.58333333333333
"3-smart-CnC","smart","CnC","Cn",6.66666666666667
"3-smart-CnD","smart","CnD","Cn",2.5
"3-smart-CxC","smart","CxC","Cx",6
"3-smart-CxD","smart","CxD","Cx",1.22222222222222
"30-lucky-CnC","lucky","CnC","Cn",6.66666666666667
"30-lucky-CnD","lucky","CnD","Cn",1.3
"30-lucky-CxC","lucky","CxC","Cx",5.22222222222222
"30-lucky-CxD","lucky","CxD","Cx",2.6
"31-wise-CnC","wise","CnC","Cn",7
"31-wise-CnD","wise","CnD","Cn",1
"31-wise-CxC","wise","CxC","Cx",6.8
"31-wise-CxD","wise","CxD","Cx",1.375
"32-wise-CnC","wise","CnC","Cn",6.83333333333333
"32-wise-CnD","wise","CnD","Cn",2.66666666666667
"32-wise-CxC","wise","CxC","Cx",6.4
"32-wise-CxD","wise","CxD","Cx",2.57142857142857
"33-wise-CnC","wise","CnC","Cn",6.9
"33-wise-CnD","wise","CnD","Cn",1
"33-wise-CxC","wise","CxC","Cx",6.84615384615385
"33-wise-CxD","wise","CxD","Cx",1.45454545454545
"34-wise-CnC","wise","CnC","Cn",5.875
"34-wise-CnD","wise","CnD","Cn",3.2
"34-wise-CxC","wise","CxC","Cx",6.58333333333333
"34-wise-CxD","wise","CxD","Cx",1.9
"35-wise-CnC","wise","CnC","Cn",6.2
"35-wise-CnD","wise","CnD","Cn",1.55555555555556
"35-wise-CxC","wise","CxC","Cx",6.77777777777778
"35-wise-CxD","wise","CxD","Cx",2.72727272727273
"36-wise-CnC","wise","CnC","Cn",6.22222222222222
"36-wise-CnD","wise","CnD","Cn",1.8
"36-wise-CxC","wise","CxC","Cx",6.33333333333333
"36-wise-CxD","wise","CxD","Cx",1.33333333333333
"37-foolish-CnC","foolish","CnC","Cn",6.30769230769231
"37-foolish-CnD","foolish","CnD","Cn",2
"37-foolish-CxC","foolish","CxC","Cx",6.66666666666667
"37-foolish-CxD","foolish","CxD","Cx",1.4
"38-foolish-CnC","foolish","CnC","Cn",5.5
"38-foolish-CnD","foolish","CnD","Cn",2
"38-foolish-CxC","foolish","CxC","Cx",6.88888888888889
"38-foolish-CxD","foolish","CxD","Cx",1.1
"39-foolish-CnC","foolish","CnC","Cn",5.41666666666667
"39-foolish-CnD","foolish","CnD","Cn",1.1
"39-foolish-CxC","foolish","CxC","Cx",6.4
"39-foolish-CxD","foolish","CxD","Cx",1
"4-smart-CnC","smart","CnC","Cn",6.875
"4-smart-CnD","smart","CnD","Cn",1.38461538461538
"4-smart-CxC","smart","CxC","Cx",6.66666666666667
"4-smart-CxD","smart","CxD","Cx",5.36363636363636
"40-foolish-CnC","foolish","CnC","Cn",4.18181818181818
"40-foolish-CnD","foolish","CnD","Cn",1.75
"40-foolish-CxC","foolish","CxC","Cx",4.88888888888889
"40-foolish-CxD","foolish","CxD","Cx",1.3
"41-foolish-CnC","foolish","CnC","Cn",5.75
"41-foolish-CnD","foolish","CnD","Cn",1.09090909090909
"41-foolish-CxC","foolish","CxC","Cx",5.83333333333333
"41-foolish-CxD","foolish","CxD","Cx",2.44444444444444
"42-foolish-CnC","foolish","CnC","Cn",5.77777777777778
"42-foolish-CnD","foolish","CnD","Cn",1
"42-foolish-CxC","foolish","CxC","Cx",6.7
"42-foolish-CxD","foolish","CxD","Cx",2.5
"43-polite-CnC","polite","CnC","Cn",6.88888888888889
"43-polite-CnD","polite","CnD","Cn",1.36363636363636
"43-polite-CxC","polite","CxC","Cx",6.77777777777778
"43-polite-CxD","polite","CxD","Cx",1.7
"44-polite-CnC","polite","CnC","Cn",6.08333333333333
"44-polite-CnD","polite","CnD","Cn",1.22222222222222
"44-polite-CxC","polite","CxC","Cx",6.33333333333333
"44-polite-CxD","polite","CxD","Cx",1
"45-polite-CnC","polite","CnC","Cn",5.7
"45-polite-CnD","polite","CnD","Cn",1
"45-polite-CxC","polite","CxC","Cx",6.66666666666667
"45-polite-CxD","polite","CxD","Cx",1
"46-polite-CnC","polite","CnC","Cn",6.33333333333333
"46-polite-CnD","polite","CnD","Cn",1.44444444444444
"46-polite-CxC","polite","CxC","Cx",6.53846153846154
"46-polite-CxD","polite","CxD","Cx",2
"47-polite-CnC","polite","CnC","Cn",6.28571428571429
"47-polite-CnD","polite","CnD","Cn",1.09090909090909
"47-polite-CxC","polite","CxC","Cx",6.85714285714286
"47-polite-CxD","polite","CxD","Cx",1.625
"48-polite-CnC","polite","CnC","Cn",6
"48-polite-CnD","polite","CnD","Cn",1.9
"48-polite-CxC","polite","CxC","Cx",6.8
"48-polite-CxD","polite","CxD","Cx",2.125
"49-rude-CnC","rude","CnC","Cn",5.42857142857143
"49-rude-CnD","rude","CnD","Cn",1.41666666666667
"49-rude-CxC","rude","CxC","Cx",5.875
"49-rude-CxD","rude","CxD","Cx",1.66666666666667
"5-smart-CnC","smart","CnC","Cn",6.77777777777778
"5-smart-CnD","smart","CnD","Cn",1.1
"5-smart-CxC","smart","CxC","Cx",6.25
"5-smart-CxD","smart","CxD","Cx",2.875
"50-rude-CnC","rude","CnC","Cn",6.66666666666667
"50-rude-CnD","rude","CnD","Cn",1
"50-rude-CxC","rude","CxC","Cx",6.1
"50-rude-CxD","rude","CxD","Cx",1.5
"51-rude-CnC","rude","CnC","Cn",4.625
"51-rude-CnD","rude","CnD","Cn",1.45454545454545
"51-rude-CxC","rude","CxC","Cx",5.30769230769231
"51-rude-CxD","rude","CxD","Cx",1
"52-rude-CnC","rude","CnC","Cn",6.5
"52-rude-CnD","rude","CnD","Cn",1.33333333333333
"52-rude-CxC","rude","CxC","Cx",6.36363636363636
